id,entity,country,location_query,confidence,latitude,longitude,geo_source,note,geo_display
ATK-BANK-032,VTB Bank,Russia,"Moscow, Russia",medium,55.625578,37.6063916,location,Russian court seizure of JPMorgan assets,"Москва, Центральный федеральный округ, Россия"
ATK-BANK-033,UniCredit S.p.A.,Russia,"Saint Petersburg, Russia",medium,59.9606739,30.1586551,location,Arbitration Court of St Petersburg asset freeze,"Санкт-Петербург, Северо-Западный федеральный округ, Россия"
ATK-BANK-034,Gazprombank JSC,United States,"Washington, D.C., United States",medium,38.8950982,-77.0363849,location,US Treasury SDN designation,"Washington, District of Columbia, United States"
ATK-BANK-035,AO Raiffeisenbank (Russia),Germany,"Frankfurt, Germany",medium,50.1106444,8.6820917,location,ECB supervisor directive; Russia exposure,"Frankfurt am Main, Hessen, Deutschland"
ATK-BANK-036,TD Bank Group (Canadian parent),United States,"Washington, D.C., United States",medium,38.8950982,-77.0363849,location,OCC asset cap on US subsidiaries,"Washington, District of Columbia, United States"
ATK-BANK-037,Visa,United States,"McLean, Virginia, United States",medium,38.9366852,-77.185843,location,Capital One acquires Discover,"McLean, Fairfax County, Virginia, United States"
ATK-BANK-038,UBS AG,Switzerland,"Zurich, Switzerland",high,47.3744489,8.5410422,location,"UBS/Credit Suisse merger, Swiss","Zürich, Bezirk Zürich, Zürich, Schweiz/Suisse/Svizzera/Svizra"
ATK-BANK-039,German Federal Government / Finance Ministry,Germany,"Frankfurt, Germany",medium,50.1106444,8.6820917,location,Commerzbank HQ; UniCredit stake battle,"Frankfurt am Main, Hessen, Deutschland"
ATK-BANK-040,Georges Elhedery,United Kingdom,"London, England, United Kingdom",high,51.5074456,-0.1277653,location,HSBC Group HQ in London,"Greater London, England, United Kingdom"
ATK-BANK-041,Citigroup employees,United States,"New York City, New York, United States",high,40.7127281,-74.0060152,location,Citigroup HQ in New York,"New York, United States"
ATK-BANK-042,NYCB / Flagstar shareholders,United States,"Hicksville, New York, United States",high,40.7695303,-73.5293246,location,"NYCB headquartered in Hicksville, NY","Hicksville, Town of Oyster Bay, Nassau County, New York, 11801, United States"
ATK-BANK-043,Federal Reserve,United States,"Washington, D.C., United States",high,38.8950982,-77.0363849,location,Federal Reserve seat,"Washington, District of Columbia, United States"
ATK-BANK-044,Dame Alison Rose,United Kingdom,"London, England, United Kingdom",high,51.5074456,-0.1277653,location,NatWest/Coutts London,"Greater London, England, United Kingdom"
ATK-BANK-045,DWS Group,Germany,"Frankfurt, Germany",high,50.1106444,8.6820917,location,Frankfurt prosecutor; DWS Frankfurt-based,"Frankfurt am Main, Hessen, Deutschland"
ATK-BANK-046,FBI / HSI Homeland Security Task Force,United States,"Washington, D.C., United States",medium,38.8950982,-77.0363849,location,Nationwide US ATM jackpotting; federal seat,"Washington, District of Columbia, United States"
ATK-BANK-047,ING Group N.V.,Netherlands,"Amsterdam, Netherlands",high,52.3730796,4.8924534,location,Amsterdam District Court; ING HQ,"Amsterdam, Noord-Holland, Nederland"
ATK-BANK-048,Barclays PLC,United Kingdom,"London, England, United Kingdom",medium,51.5074456,-0.1277653,location,UK-wide banking outages; Parliament London,"Greater London, England, United Kingdom"
ATK-BANK-049,Marquis Software Solutions,United States,"Plano, Texas, United States",high,33.0136764,-96.6925096,location,Texas fintech vendor Marquis,"Plano, Collin County, Texas, United States"
ATK-BANK-050,ICBC Financial Services LLC,United States,"New York City, New York, United States",high,40.7127281,-74.0060152,location,USB drive across Manhattan; DTCC/BNY NY,"New York, United States"
ATK-BANK-051,Standard Chartered corporate-functions employees,Hong Kong,Hong Kong,high,22.2818333,114.1582831,location,Investor event in Hong Kong,"香港 Hong Kong, 中国"
ATK-BANK-052,AXA S.A.,France,"Paris, France",high,48.8588897,2.320041,location,"BNP Paribas and AXA IM, Paris","Paris, Île-de-France, France métropolitaine, France"
ATK-EV-001,SAIC Motor,Belgium,"Brussels, Belgium",high,50.8467372,4.352493,location,European Commission regulation; seat Brussels,"Bruxelles - Brussel, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, België / Belgique / Belgien"
ATK-EV-002,CDK Global,United States,"Hoffman Estates, Illinois, United States",high,42.0427256,-88.0792782,location,CDK Global HQ; North American dealers,"Hoffman Estates, Schaumburg Township, Cook County, Illinois, United States"
ATK-EV-003,Ford (F),United States,"Chicago, Illinois, United States",high,41.8755616,-87.6244212,location,Ford Chicago line idled,"Chicago, South Chicago Township, Cook County, Illinois, United States"
ATK-EV-004,Volkswagen,Sweden,"Stockholm, Sweden",medium,59.3251172,18.0710935,location,Northvolt Swedish bankruptcy/fraud probe,"Stockholm, Stockholms kommun, Stockholms län, 111 29, Sverige"
ATK-EV-005,BMW,Sweden,"Skelleftea, Sweden",high,64.7520185,20.959339,location,Northvolt Ett gigafactory Skelleftea,"Skellefteå, Skellefteå kommun, Västerbottens län, Sverige"
ATK-EV-006,Tesla shareholders,United States,"Washington, D.C., United States",medium,38.8950982,-77.0363849,location,Inauguration rally DC; boycott nationwide,"Washington, District of Columbia, United States"
ATK-EV-007,Northvolt AB,Sweden,"Skelleftea, Sweden",high,64.7520185,20.959339,location,Northvolt Sweden gigafactory,"Skellefteå, Skellefteå kommun, Västerbottens län, Sverige"
ATK-EV-008,Tesla,United States,"Washington, D.C., United States",medium,38.8950982,-77.0363849,location,DoD 1260H CATL designation; DoD seat,"Washington, District of Columbia, United States"
ATK-EV-009,Yueting 'YT' Jia,United States,"Los Angeles, California, United States",medium,34.0536909,-118.242766,location,Faraday Future HQ Los Angeles; SEC action,"Los Angeles, Los Angeles County, California, United States"
ATK-EV-010,NHTSA,United States,"Washington, D.C., United States",high,38.8950982,-77.0363849,location,NHTSA consent order; agency seat,"Washington, District of Columbia, United States"
ATK-EV-011,SK On,United States,"Dearborn, Michigan, United States",high,42.3222599,-83.1763145,location,Ford EV reset; Ford HQ Dearborn,"Dearborn, Wayne County, Michigan, United States"
ATK-EV-012,GM shareholders,United States,"San Francisco, California, United States",high,37.7879363,-122.4075201,location,Cruise robotaxi based San Francisco,"San Francisco, California, United States"
ATK-EV-013,OnStar Smart Driver enrollees,United States,"Washington, D.C., United States",high,38.8950982,-77.0363849,location,FTC consent order; agency seat,"Washington, District of Columbia, United States"
ATK-EV-014,California DOJ / AG Rob Bonta,United States,"Sacramento, California, United States",high,38.5810606,-121.493895,location,California AG/CPPA settlement,"Sacramento, Sacramento County, California, United States"
ATK-EV-015,General Motors,United States,"Washington, D.C., United States",medium,38.8950982,-77.0363849,location,Presidential tariff proclamation; nationwide impact,"Washington, District of Columbia, United States"
ATK-EV-016,DRC government / ARECOMS,Democratic Republic of the Congo,"Kinshasa, Democratic Republic of the Congo",high,-4.32171,15.3122511,location,DRC cobalt export ban,"Kinshasa, Aketi, Kinshasa, République démocratique du Congo"
ATK-EV-017,Hyundai AutoEver America,United States,"Fountain Valley, California, United States",high,33.7038145,-117.9627349,location,Hyundai AutoEver America HQ California,"Fountain Valley, Orange County, California, 92708, United States"
ATK-EV-018,LG Energy Solution,South Korea,"Seoul, South Korea",medium,37.5666791,126.9782914,location,LGES HQ Seoul; overseas facility undisclosed,"서울특별시, 대한민국"
ATK-EV-019,Mercedes-Benz Korea,South Korea,"Cheongna, Incheon, South Korea",high,37.5702484,126.6705968,location,"EQE fire in Cheongna, Incheon","청라, 인천국제공항고속도로, 검암동, 검암경서동, 서해구, 인천광역시, 22694, 대한민국"
ATK-EV-020,"CDK Global, LLC",United States,"Hoffman Estates, Illinois, United States",high,42.0427256,-88.0792782,location,CDK Global HQ,"Hoffman Estates, Schaumburg Township, Cook County, Illinois, United States"
ATK-EV-021,Defrauded Nikola shareholders,United States,"Phoenix, Arizona, United States",medium,33.4484367,-112.074141,location,Nikola HQ Phoenix; presidential pardon,"Phoenix, Maricopa County, Arizona, United States"
ATK-EV-022,Peter Carlsson,Sweden,"Skelleftea, Sweden",high,64.7520185,20.959339,location,Northvolt Skelleftea gigafactory deaths,"Skellefteå, Skellefteå kommun, Västerbottens län, Sverige"
ATK-EV-023,BMW,Sweden,"Skelleftea, Sweden",high,64.7520185,20.959339,location,Northvolt Skelleftea job cuts,"Skellefteå, Skellefteå kommun, Västerbottens län, Sverige"
ATK-EV-024,Peter Carlsson,Sweden,"Skelleftea, Sweden",high,64.7520185,20.959339,location,Northvolt gigafactory prosecution,"Skellefteå, Skellefteå kommun, Västerbottens län, Sverige"
ATK-EV-025,BMW,Sweden,"Skelleftea, Sweden",high,64.7520185,20.959339,location,Northvolt collapse Skelleftea,"Skellefteå, Skellefteå kommun, Västerbottens län, Sverige"
ATK-EV-026,"Rivian Automotive, Inc.",United States,"Irvine, California, United States",high,33.6856969,-117.825981,location,Rivian HQ Irvine; securities settlement,"Irvine, Orange County, California, United States"
ATK-EV-027,"Stellantis shareholders (Exor, Peugeot family, BPI, Dongfeng)",Netherlands,"Amsterdam, Netherlands",medium,52.3730796,4.8924534,location,Stellantis registered HQ Amsterdam,"Amsterdam, Noord-Holland, Nederland"
ATK-EV-028,Tesla owners,United States,"Washington, D.C., United States",medium,38.8950982,-77.0363849,location,FBI task force; attacks across nine states,"Washington, District of Columbia, United States"
ATK-EV-029,"Tesla, Inc.",United States,"Corpus Christi, Texas, United States",medium,27.7635302,-97.4033191,location,"Tesla lithium refinery, Texas Gulf estuary","Corpus Christi, Nueces County, Texas, United States"
ATK-EV-030,EPA Criminal Investigation Division,United States,"Austin, Texas, United States",high,30.2711286,-97.7436995,location,Tesla Austin gigafactory,"Austin, Travis County, Texas, United States"
ATK-EV-031,Elon Musk,United States,"Washington, D.C., United States",medium,38.8950982,-77.0363849,location,DOJ/SEC Autopilot inquiry; federal seat,"Washington, District of Columbia, United States"
ATK-EV-032,Jeffrey Nissen,United States,"Washington State, United States",high,47.2868352,-120.212613,location,Fatal FSD crash on Washington highway,"Washington, United States"
ATK-EV-033,Tesla owners (~3.2M),United States,"Washington, D.C., United States",high,38.8950982,-77.0363849,location,NHTSA ODI investigation; agency seat,"Washington, District of Columbia, United States"
ATK-EV-034,Laid-off employees & families,United States,"Austin, Texas, United States",medium,30.2711286,-97.7436995,location,Tesla company-wide layoffs; HQ Austin,"Austin, Travis County, Texas, United States"
ATK-EV-035,Austin residents / road users,United States,"Austin, Texas, United States",high,30.2711286,-97.7436995,location,Tesla Austin robotaxi launch,"Austin, Travis County, Texas, United States"
ATK-EV-036,Black Fremont workers,United States,"Fremont, California, United States",high,37.5482697,-121.988571,location,Tesla Fremont factory; N.D. Cal.,"Fremont, Alameda County, California, United States"
ATK-EV-037,"Tesla, Inc.",United States,"Washington, D.C., United States",high,38.8950982,-77.0363849,location,NHTSA FSD defect probe; agency seat,"Washington, District of Columbia, United States"
ATK-EV-038,California DMV,United States,"Sacramento, California, United States",high,38.5810606,-121.493895,location,California DMV adjudication,"Sacramento, Sacramento County, California, United States"
ATK-EV-039,Tesla owners (≈3.2M US vehicles),United States,"Washington, D.C., United States",high,38.8950982,-77.0363849,location,NHTSA ODI Engineering Analysis; agency seat,"Washington, District of Columbia, United States"
ATK-EV-040,Tesla shareholders,United States,"Austin, Texas, United States",medium,30.2711286,-97.7436995,location,Tesla HQ; global delivery shock but company-centered,"Austin, Travis County, Texas, United States"
ATK-EV-041,BYD,United States,"Washington, D.C., United States",medium,38.8950982,-77.0363849,location,US Section 301 tariff action; USTR seat,"Washington, District of Columbia, United States"
ATK-EV-042,Volkswagen Group,Germany,"Wolfsburg, Germany",high,52.4205588,10.7861682,location,Cariad SE / VW connected-car data exposure,"Wolfsburg, Niedersachsen, Deutschland"
ATK-EV-043,Volkswagen Group,Germany,"Wolfsburg, Germany",high,52.4205588,10.7861682,location,VW EU CO2 compliance disclosure,"Wolfsburg, Niedersachsen, Deutschland"
ATK-EV-044,IG Metall,Germany,"Wolfsburg, Germany",high,52.4205588,10.7861682,location,VW German factory closure threat,"Wolfsburg, Niedersachsen, Deutschland"
ATK-EV-045,Volvo Car AB,Sweden,"Gothenburg, Sweden",high,57.7072326,11.9670171,location,Volvo Cars / Novo Energy battery bet,"Göteborg, Göteborgs Stad, Västra Götalands län, 411 10, Sverige"
ATK-EV-046,BYD Co.,Mexico,Mexico,medium,23.6585116,-102.0077097,location,Suspended Mexican EV plant; site unspecified,México
ATK-EV-047,BYD Company Limited,Hungary,"Szeged, Hungary",high,46.2546312,20.1486016,location,BYD flagship European plant deaths,"Szeged, Szegedi járás, Csongrád-Csanád vármegye, Dél-Alföld, Alföld és Észak, Magyarország"
ATK-EV-048,CATL Debrecen plant,Hungary,"Debrecen, Hungary",high,47.531399,21.6259782,location,CATL gigafactory wastewater discharge,"Debrecen, Debreceni járás, Hajdú-Bihar vármegye, Észak-Alföld, Alföld és Észak, Magyarország"
ATK-EV-049,ChargePoint shareholders (2021-2023 class),United States,"San Francisco, California, United States",high,37.7879363,-122.4075201,location,N.D. California securities-fraud case,"San Francisco, California, United States"
ATK-EV-050,Common shareholders,United States,"Washington, D.C., United States",medium,38.8950982,-77.0363849,location,SEC Fisker probe; SEC seat,"Washington, District of Columbia, United States"
ATK-EV-051,Current & former HAEA / Hyundai Motor America employees,United States,"Fountain Valley, California, United States",medium,33.7038145,-117.9627349,location,Hyundai AutoEver America IT breach; US HQ,"Fountain Valley, Orange County, California, 92708, United States"
ATK-EV-052,Li Auto (Li Xiang),China,"Shanghai, China",high,31.2312707,121.4700152,location,Li Auto Mega fire in Shanghai; SAMR recall,"上海市, 中国"
ATK-EV-053,EV owners (~116k),India,"Bengaluru, Karnataka, India",medium,12.9767936,77.590082,location,Numocity Bengaluru platform breach; 8 countries,"Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India"
ATK-EV-054,NIO Inc.,China,"Shanghai, China",medium,31.2312707,121.4700152,location,NIO software recall; company HQ,"上海市, 中国"
ATK-EV-055,Northvolt Batteries North America Inc.,Canada,"Montreal, Quebec, Canada",medium,45.5031824,-73.5698065,location,Quebec site discharge penalty; region-level,"Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, Canada"
ATK-EV-056,European Investment Bank,Sweden,"Västmanland County, Sweden",high,59.6965564,16.1846084,location,Northvolt Skellefteå/Västmanland environmental crime referral,"Västmanlands län, Sverige"
ATK-EV-057,"Rivian Automotive, Inc.",United States,"Normal, Illinois, United States",high,40.5092961,-88.9843937,location,Tornado strike on Rivian Normal plant,"Normal, McLean County, Illinois, United States"
ATK-EV-058,Essex Furukawa,United States,"Normal, Illinois, United States",medium,40.5092961,-88.9843937,location,Rivian production cut; Normal plant impact,"Normal, McLean County, Illinois, United States"
ATK-EV-059,Rivian Automotive,United States,"Santa Clara County, California, United States",high,37.2333253,-121.6846349,location,Tesla v. Rivian; Santa Clara County court,"Santa Clara County, California, United States"
ATK-EV-060,Victor Joe Gomez Sr.,United States,"Austin, Texas, United States",high,30.2711286,-97.7436995,location,Fatal electrocution at Tesla Austin plant,"Austin, Travis County, Texas, United States"
ATK-EV-061,Tesla HR organization,United States,"Fremont, California, United States",high,37.5482697,-121.988571,location,Tesla Fremont whistleblower litigation; N.D. Cal.,"Fremont, Alameda County, California, United States"
ATK-EV-062,Texas drivers (1.8M+),United States,"Austin, Texas, United States",high,30.2711286,-97.7436995,location,Texas AG sued GM/OnStar; Austin AG seat,"Austin, Travis County, Texas, United States"
ATK-EV-063,Toyota customers,United States,"Plano, Texas, United States",medium,33.0136764,-96.6925096,location,US Toyota third-party breach; Toyota NA HQ,"Plano, Collin County, Texas, United States"
ATK-EV-064,Volkswagen Group of America,United States,"Herndon, Virginia, United States",medium,38.9695316,-77.3859479,location,VW America NHTSA recall; US HQ,"Herndon, Fairfax County, Virginia, United States"
ATK-EV-065,Waymo LLC,United States,"Mountain View, California, United States",medium,37.3893889,-122.0832101,location,Waymo recall; Alphabet/Waymo HQ,"Mountain View, Santa Clara County, California, United States"
ATK-EV-066,Waymo LLC,United States,"Phoenix, Arizona, United States",medium,33.4484367,-112.074141,location,Freeway recall; Phoenix and Bay Area suspension,"Phoenix, Maricopa County, Arizona, United States"
ATK-EV-067,"XPeng P7+ owners (~47,490)",China,"Guangzhou, China",medium,23.1288429,113.2589581,location,XPeng SAMR recall; company HQ,"广州市, 广东省, 中国"
ATK-EV-068,American Honda Motor Co.,United States,"Torrance, California, United States",high,33.8371392,-118.3413606,location,California CPPA settlement; Honda US HQ,"Torrance, Los Angeles County, California, United States"
ATK-EV-069,Rivian R1S / R1T owners,United States,"Washington, D.C., United States",medium,38.8950982,-77.0363849,location,NHTSA recall campaign; federal ADAS defect,"Washington, District of Columbia, United States"
ATK-PHARMA-001,Guy's and St Thomas' NHS Foundation Trust,United Kingdom,"London, England, United Kingdom",high,51.5074456,-0.1277653,location,Synnovis ransomware hit seven London hospitals,"Greater London, England, United Kingdom"
ATK-PHARMA-002,"Cencora, Inc.",United States,"Conshohocken, Pennsylvania, United States",medium,40.0738835,-75.30625,location,Cencora breach; company HQ,"Conshohocken, Montgomery County, Pennsylvania, 19428, United States"
ATK-PHARMA-003,Baxter International,United States,"Marion, North Carolina, United States",high,35.6841022,-82.0091028,location,Baxter North Cove flooded by Hurricane Helene,"Marion, McDowell County, North Carolina, 28752, United States"
ATK-PHARMA-004,Sackler family,United States,"Washington, D.C., United States",medium,38.8950982,-77.0363849,location,National opioid settlement; Supreme Court context,"Washington, District of Columbia, United States"
ATK-PHARMA-005,"WuXi AppTec Co., Ltd.",United States,"Washington, D.C., United States",medium,38.8950982,-77.0363849,location,BIOSECURE/federal decoupling action against WuXi,"Washington, District of Columbia, United States"
ATK-PHARMA-006,Pfizer Inc.,United States,"Washington, D.C., United States",medium,38.8950982,-77.0363849,location,Section 232 pharma tariff proclamation,"Washington, District of Columbia, United States"
ATK-PHARMA-007,AstraZeneca PLC,United Kingdom,"London, England, United Kingdom",medium,51.5074456,-0.1277653,location,UK High Court group action; AZ vaccine withdrawal,"Greater London, England, United Kingdom"
ATK-PHARMA-008,Bayer employees,Germany,"Leverkusen, Germany",high,51.0324743,6.9881194,location,Bayer restructuring; company HQ,"Leverkusen, Nordrhein-Westfalen, Deutschland"
ATK-PHARMA-009,Generic sponsors (US ANDA holders),India,"Pune, Maharashtra, India",high,18.5213738,73.8545071,location,Synapse Labs Pune data falsification,"Pune, Pune City Subdistrict, Pune, Maharashtra, 411001, India"
ATK-PHARMA-010,"CrowdStrike Holdings, Inc.",United States,"Austin, Texas, United States",low,30.2711286,-97.7436995,location,Global outage; CrowdStrike HQ as anchor,"Austin, Travis County, Texas, United States"
ATK-PHARMA-011,City of Seattle,United States,"Seattle, Washington, United States",high,47.6038321,-122.330062,location,Monsanto/Bayer PCB settlement with Seattle,"Seattle, King County, Washington, United States"
ATK-PHARMA-012,Escientia Advanced Sciences,India,"Visakhapatnam, Andhra Pradesh, India",high,17.6935526,83.2921297,location,API plant explosion near Visakhapatnam,"Visakhapatnam, Visakhapatnam Urban, Visakhapatnam, Andhra Pradesh, 530001, India"
ATK-PHARMA-013,Recursion Pharmaceuticals (RXRX),United States,"Salt Lake City, Utah, United States",medium,40.7596198,-111.886797,location,Recursion trial readout; company HQ,"Salt Lake City, Salt Lake County, Utah, United States"
ATK-PHARMA-014,Leon Wang,China,"Shanghai, China",medium,31.2312707,121.4700152,location,AstraZeneca China unit indictment; China HQ,"上海市, 中国"
ATK-PHARMA-015,Pfizer Inc.,United States,"New York, New York, United States",medium,40.7127281,-74.0060152,location,Global Oxbryta withdrawal; Pfizer HQ,"New York, United States"
